iter	Passed	Remaining
0	874	873545
1	1730	863491
2	1882	625564
3	2113	526351
4	2313	460413
5	2737	453532
6	5473	776416
7	5925	734742
8	6017	662543
9	10273	1017082
10	10947	984301
11	14650	1206234
12	14766	1121146
13	14929	1051481
14	15592	1023885
15	15813	972560
16	16433	950234
17	16631	907340
18	18368	948404
19	18536	908280
20	18757	874477
21	19819	881059
22	20251	860239
23	20654	839945
24	20812	811687
25	20982	786020
26	21193	763744
27	21614	750327
28	29193	977477
29	29614	957524
30	29716	928870
31	30133	911541
32	30243	886228
33	30398	863662
34	38126	1051211
35	45894	1228961
36	53811	1400551
37	54035	1367962
38	54217	1335984
39	54409	1305836
40	56081	1311764
41	58974	1345186
42	59345	1320781
43	62681	1361904
44	62741	1331523
45	63303	1312852
46	69856	1416444
47	69919	1386744
48	70099	1360508
49	76845	1460070
50	77103	1434725
51	77480	1412535
52	77661	1387642
53	77987	1366219
54	78178	1343248
55	81568	1375004
56	84586	1399387
57	84661	1375016
58	85058	1356608
59	85196	1334743
60	85271	1312628
61	88522	1339254
62	88746	1319933
63	89642	1311017
64	89751	1291038
65	89956	1273027
66	90214	1256270
67	91827	1258570
68	98337	1326845
69	98463	1308161
70	105268	1377386
71	105373	1358149
72	105631	1341377
73	105811	1324071
74	105971	1306981
75	106300	1292395
76	106455	1276078
77	108050	1277216
78	114508	1334961
79	114739	1319508
80	114824	1302761
81	115742	1295747
82	117395	1297003
83	117613	1282543
84	118126	1271596
85	119677	1271925
86	126380	1326264
87	126492	1310918
88	132972	1361102
89	139105	1406515
90	139321	1391679
91	142670	1408092
92	148837	1451567
93	149111	1437180
94	150014	1429086
95	150093	1413382
96	150249	1398718
97	150370	1384024
98	150600	1370620
99	150768	1356916
100	150902	1343185
101	151234	1331453
102	151541	1319737
103	151767	1307535
104	151899	1294763
105	152118	1282965
106	152181	1270076
107	152497	1259518
108	154009	1258922
109	154140	1247133
110	154293	1235736
111	154454	1224601
112	154643	1213880
113	154991	1204583
114	155890	1199680
115	156125	1189787
116	156267	1179352
117	156494	1169730
118	156626	1159564
119	156735	1149393
120	156860	1139506
121	163237	1174771
122	170292	1214197
123	170410	1203867
124	170516	1193617
125	177596	1231898
126	177724	1221684
127	177926	1212126
128	178464	1204980
129	181659	1215723
130	181818	1206107
131	181942	1196412
132	182153	1187423
133	189012	1221525
134	189130	1211834
135	189327	1202785
136	190915	1202630
137	194069	1212231
138	200613	1242651
139	201195	1235912
140	201695	1228771
141	208318	1258714
142	214498	1285493
143	221151	1314624
144	227786	1343155
145	234401	1371087
146	240811	1397361
147	244165	1405603
148	244247	1394997
149	244583	1385972
150	246124	1383839
151	252621	1409359
152	252734	1399126
153	252880	1389201
154	259758	1416104
155	266471	1441681
156	266586	1431415
157	273457	1457286
158	273625	1447289
159	273792	1437411
160	274294	1429399
161	274807	1421533
162	281695	1446496
163	288946	1472922
164	289192	1463488
165	290710	1460559
166	291236	1452692
167	291567	1443955
168	297585	1463273
169	304823	1488257
170	304942	1478344
171	305124	1468857
172	305447	1460144
173	305694	1451172
174	306613	1445464
175	306728	1436048
176	306852	1426775
177	307049	1417946
178	307260	1409276
179	307353	1400164
180	307582	1391766
181	307712	1383015
182	307869	1374475
183	308040	1366094
184	308363	1358464
185	308453	1349900
186	308636	1341825
187	308780	1333671
188	310381	1331847
189	316630	1349846
190	317159	1343361
191	317333	1335446
192	317508	1327613
193	317730	1320056
194	317896	1312343
195	318021	1304537
196	318194	1297005
197	318485	1290026
198	324818	1307436
199	331166	1324666
200	337770	1342681
201	337919	1334947
202	338201	1327814
203	338378	1320338
204	338858	1314109
205	345167	1330404
206	345312	1322863
207	345443	1315342
208	345520	1307688
209	345681	1300422
210	345855	1293269
211	347353	1291106
212	347432	1283704
213	353813	1299519
214	361104	1318450
215	361437	1311885
216	361602	1304768
217	361903	1298202
218	362068	1291212
219	362158	1284016
220	362333	1277185
221	363200	1272836
222	363377	1266116
223	363521	1259343
224	363662	1252613
225	363733	1245706
226	364087	1239822
227	364975	1235794
228	365294	1229878
229	365409	1223326
230	371665	1237274
231	371762	1230663
232	372159	1225091
233	372310	1218759
234	372603	1212942
235	372733	1206646
236	372978	1200770
237	373504	1195843
238	374344	1191951
239	374452	1185765
240	374568	1179656
241	374638	1173453
242	374867	1167797
243	374989	1161851
244	376594	1160524
245	377097	1155819
246	377184	1149878
247	377294	1144053
248	377603	1138875
249	377681	1133043
250	377774	1127301
251	377927	1121784
252	379550	1120650
253	380455	1117400
254	380566	1111851
255	380714	1106451
256	380777	1100845
257	381125	1096105
258	381454	1091342
259	387626	1103245
260	394612	1117313
261	394843	1112193
262	395074	1107109
263	401736	1119991
264	408609	1133312
265	408757	1127923
266	415677	1141166
267	415900	1135966
268	416050	1130605
269	416285	1125511
270	416416	1120177
271	416545	1114870
272	416854	1110085
273	417364	1105864
274	417590	1100919
275	424342	1113129
276	427622	1116142
277	427981	1111519
278	429653	1110322
279	430132	1106055
280	430643	1101894
281	430728	1096678
282	437168	1107597
283	437329	1102563
284	444353	1114782
285	444536	1109787
286	444698	1104774
287	444980	1100090
288	445463	1095932
289	446000	1091932
290	446117	1086933
291	449616	1090166
292	449794	1085340
293	450041	1080712
294	451576	1079192
295	451707	1074331
296	451988	1069859
297	452130	1065085
298	458929	1075952
299	459094	1071220
300	465420	1080826
301	465605	1076134
302	472954	1087951
303	473123	1083203
304	473383	1078694
305	473470	1073819
306	473705	1069308
307	481136	1080995
308	481395	1076518
309	481588	1071922
310	488807	1082920
311	488942	1078180
312	489229	1073804
313	489375	1069144
314	491068	1067879
315	497859	1077645
316	498450	1073948
317	498784	1069720
318	499060	1065392
319	499405	1061237
320	501089	1059937
321	507692	1068992
322	507995	1064745
323	508178	1060273
324	508342	1055787
325	515250	1065272
326	515437	1060824
327	522275	1070027
328	522463	1065570
329	522586	1061009
330	522758	1056571
331	523308	1052922
332	523556	1048685
333	523748	1044359
334	523958	1040097
335	524294	1036104
336	524638	1032153
337	531351	1040693
338	531680	1036699
339	538842	1045989
340	539024	1041692
341	539141	1037295
342	540065	1034468
343	540186	1030123
344	540718	1026581
345	541260	1023076
346	548156	1031544
347	555034	1039892
348	556058	1037233
349	557761	1035843
350	557840	1031448
351	558401	1027965
352	558503	1023659
353	558572	1019315
354	565418	1027310
355	565792	1023511
356	565901	1019256
357	566066	1015124
358	566307	1011149
359	567112	1008200
360	567212	1004013
361	567351	999918
362	568243	997166
363	568396	993132
364	568717	989411
365	568871	985421
366	575796	993130
367	576377	989865
368	577328	987247
369	577685	983626
370	577878	979745
371	578084	975905
372	585222	983738
